"hdi_rank","country","hdi_1990","hdi_2000","hdi_2010","hdi_2015","hdi_2019","hdi_2020","hdi_2021","hdi_2022","rank_change_2015_2022","avg_growth_1990_2000","avg_growth_2000_2010","avg_growth_2010_2022","avg_growth_1990_2022","tier_hdi","iso3c"
164,"Mauritania",0.397,0.461,0.508,0.536,0.552,0.539,0.538,0.54,-4,1.50584288749291,0.975561927115254,0.510362032622669,0.965988522564598,"Low","MRT"
164,"Pakistan",0.394,0.434,0.496,0.525,0.537,0.536,0.537,0.54,-3,0.971626180594587,1.34426905796656,0.710790985907184,0.98992462566323,"Low","PAK"
166,"Côte d'Ivoire",0.425,0.454,0.47,0.501,0.529,0.53,0.53,0.534,4,0.662263622392656,0.34695546853134,1.06953864239656,0.716009521491534,"Low","CIV"
167,"Tanzania (United Republic of)",0.366,0.396,0.493,0.507,0.533,0.535,0.529,0.532,2,0.7909201570931,2.21512717904255,0.636469541372175,1.17563867924961,"Low","TZA"
168,"Lesotho",0.479,0.456,0.47,0.508,0.528,0.53,0.522,0.521,0,-0.490869159197394,0.302856538455343,0.86217338094845,0.262999752733561,"Low","LSO"
169,"Senegal",0.371,0.388,0.47,0.501,0.514,0.514,0.512,0.517,1,0.449037937573227,1.9357712683131,0.797414042890376,1.04239804288329,"Low","SEN"
170,"Sudan",0.322,0.42,0.489,0.514,0.521,0.518,0.516,0.516,-6,2.69264546722878,1.53270504852194,0.448873398732452,1.48452122550089,"Low","SDN"
171,"Djibouti",NA,0.33,0.422,0.473,0.508,0.512,0.512,0.515,4,NA,2.48961249651378,1.67352908659426,NA,"Low","DJI"
172,"Malawi",0.299,0.378,0.461,0.498,0.514,0.512,0.509,0.508,1,2.37220581874675,2.00487137535696,0.812309849437964,1.67016219116829,"Low","MWI"
173,"Benin",0.35,0.412,0.481,0.509,0.506,0.501,0.502,0.504,-7,1.64427374923934,1.56048964501856,0.390000178873917,1.14602687305434,"Low","BEN"
174,"Gambia",0.323,0.392,0.449,0.467,0.492,0.492,0.49,0.495,5,1.95495903226262,1.3668678561888,0.816102733968682,1.34301804336161,"Low","GMB"
175,"Eritrea",NA,NA,0.458,0.473,0.487,0.49,0.49,0.493,0,NA,NA,0.615553373672006,NA,"Low","ERI"
176,"Ethiopia",NA,0.286,0.409,0.455,0.485,0.489,0.489,0.492,5,NA,3.64198626061278,1.55161073108849,NA,"Low","ETH"
177,"Liberia",NA,0.434,0.46,0.472,0.485,0.483,0.484,0.487,0,NA,0.583515411141322,0.476445020350758,NA,"Low","LBR"
177,"Madagascar",NA,0.438,0.488,0.499,0.498,0.486,0.484,0.487,-5,NA,1.08682848947377,-0.0170925621430951,NA,"Low","MDG"
179,"Guinea-Bissau",NA,NA,0.441,0.47,0.488,0.482,0.482,0.483,-1,NA,NA,0.760978991014349,NA,"Low","GNB"
180,"Congo (Democratic Republic of the)",0.377,0.376,0.424,0.457,0.476,0.477,0.475,0.481,0,-0.0265569136084109,1.20868943730956,1.05665874522254,0.764224409912284,"Low","COD"
181,"Guinea",0.27,0.345,0.415,0.449,0.47,0.471,0.467,0.471,2,2.4815140714989,1.86450993621823,1.06041272379951,1.7540691538823,"Low","GIN"
182,"Afghanistan",0.284,0.34,0.449,0.479,0.492,0.488,0.473,0.462,-8,1.81600623554248,2.81979707196851,0.238133115404526,1.53221567059385,"Low","AFG"
183,"Mozambique",0.239,0.303,0.407,0.445,0.465,0.467,0.459,0.461,1,2.40106483656057,2.99477141514686,1.04361521612915,2.07413763609512,"Low","MOZ"
184,"Sierra Leone",0.314,0.319,0.416,0.438,0.457,0.453,0.456,0.458,1,0.158106024755322,2.69049912857964,0.804753571809536,1.18659799275886,"Low","SLE"
185,"Burkina Faso",NA,0.296,0.372,0.413,0.446,0.446,0.445,0.438,2,NA,2.31165805872331,1.37034647673653,NA,"Low","BFA"
186,"Yemen",0.357,0.434,0.496,0.455,0.43,0.43,0.425,0.424,-5,1.97228505542875,1.34426905796656,-1.29851617342379,0.538939813204831,"Low","YEM"
187,"Burundi",0.285,0.298,0.404,0.42,0.423,0.419,0.419,0.42,-1,0.447039315122999,3.0899929924959,0.324189639268146,1.21913892979721,"Low","BDI"
188,"Mali",0.236,0.315,0.406,0.409,0.421,0.407,0.408,0.41,0,2.92949809700704,2.57028163159301,0.0817333843466716,1.740998473832,"Low","MLI"
189,"Chad",NA,0.292,0.364,0.388,0.398,0.396,0.393,0.394,0,NA,2.22846817221405,0.662157983449507,NA,"Low","TCD"
189,"Niger",0.212,0.26,0.336,0.367,0.39,0.391,0.389,0.394,2,2.06192343951868,2.59745618213474,1.33584160364497,1.95564143695774,"Low","NER"
191,"Central African Republic",0.333,0.319,0.357,0.367,0.391,0.389,0.387,0.387,0,-0.428592780335624,1.13180376808515,0.674673329090503,0.470736383413439,"Low","CAF"
192,"South Sudan",NA,NA,0.406,0.381,0.391,0.386,0.381,0.381,-2,NA,NA,-0.528214883672762,NA,"Low","SSD"
193,"Somalia",NA,NA,NA,NA,NA,NA,NA,0.38,NA,NA,NA,NA,NA,"Low","SOM"
NA,"Korea (Democratic People's Rep. of)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRK"
NA,"Monaco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MCO"
NA,"Very high human development",0.785,0.828,0.87,0.889,0.901,0.895,0.896,0.902,NA,0.534718911647403,0.496026732181076,0.301464396176621,0.435102591676739,"Very High",NA
NA,"High human development",0.56,0.626,0.703,0.736,0.76,0.759,0.76,0.764,NA,1.12036548136976,1.16682005848576,0.695833896567755,0.975448679222035,"High",NA
NA,"Medium human development",0.443,0.497,0.574,0.615,0.635,0.634,0.63,0.64,NA,1.15684282457404,1.45081735941968,0.91111544994984,1.15631676908661,"Medium",NA
NA,"Low human development",0.354,0.398,0.473,0.501,0.516,0.515,0.515,0.517,NA,1.17844045783637,1.74142283512202,0.743982952698241,1.19061316664768,"Low",NA
NA,"Developing countries",0.513,0.569,0.639,0.672,0.691,0.689,0.688,0.694,NA,1.04143142779562,1.16699709592853,0.690435139958501,0.948836036401768,"Medium",NA
NA,"Arab States",0.55,0.615,0.672,0.691,0.709,0.704,0.704,0.704,NA,1.12330208176137,0.890300535561406,0.388419196638501,0.774420990861247,"High",NA
NA,"East Asia and the Pacific",0.507,0.594,0.689,0.728,0.757,0.76,0.761,0.766,NA,1.59628988170166,1.49467978057916,0.886749355890859,1.29794856161283,"High",NA
NA,"Europe and Central Asia",0.663,0.68,0.746,0.782,0.802,0.792,0.797,0.802,NA,0.253498846189704,0.930631716860186,0.605014595121589,0.596564958469292,"Very High",NA
NA,"Latin America and the Caribbean",0.637,0.686,0.735,0.758,0.768,0.755,0.754,0.763,NA,0.743832513231002,0.692314205934519,0.312048628509776,0.565619796466566,"High",NA
NA,"South Asia",0.444,0.5,0.574,0.616,0.635,0.635,0.631,0.641,NA,1.19491814025239,1.38978189141918,0.924245517714772,1.15412450842476,"Medium",NA
NA,"Sub-Saharan Africa",0.404,0.429,0.502,0.533,0.549,0.547,0.546,0.549,NA,0.602226546004747,1.58384393015676,0.748607508219257,0.962993362595577,"Low",NA
NA,"Least developed countries",0.354,0.408,0.487,0.518,0.54,0.542,0.54,0.542,NA,1.42982825148792,1.78572627285998,0.895669649063446,1.34005269173516,"Low",NA
NA,"Small island developing states",0.605,0.65,0.694,0.721,0.731,0.727,0.722,0.73,NA,0.720018808241418,0.657145765930967,0.422327412891521,0.588651018718656,"High",NA
NA,"Organisation for Economic Co-operation and Development",0.796,0.842,0.878,0.894,0.905,0.897,0.899,0.906,NA,0.563389386253621,0.41954342351378,0.261948423653102,0.405319582582653,"Very High",NA
NA,"World",0.601,0.645,0.698,0.724,0.739,0.736,0.735,0.739,NA,0.70905580326901,0.792814118053875,0.476789861011606,0.64803756834928,"High",NA
